Date,Open,High,Low,Close,AdjClose,Volume
2015-04,2067.63,2125.92,2048.38,2085.51,2085.51,72060940000
2015-03,2105.23,2117.52,2039.69,2067.89,2067.89,76675850000
2015-02,1996.67,2119.59,1980.9,2104.5,2104.5,68775560000
2015-01,2058.9,2072.36,1988.12,1994.99,1994.99,77330040000
2014-12,2065.78,2093.55,1972.56,2058.9,2058.9,80743820000
2014-11,2018.21,2075.76,2001.01,2067.56,2067.56,63600190000
2014-10,1971.44,2018.19,1820.66,2018.05,2018.05,93714040000
2014-09,2004.07,2019.26,1964.04,1972.29,1972.29,66706000000
2014-08,1929.8,2005.04,1904.78,2003.37,2003.37,58131140000
2014-07,1962.29,1991.39,1930.67,1930.67,1930.67,66524690000
2014-06,1923.87,1968.17,1915.98,1960.23,1960.23,63283380000
2014-05,1884.39,1924.03,1859.79,1923.57,1923.57,63623630000
2014-04,1873.96,1897.28,1814.36,1883.95,1883.95,71595810000
2014-03,1857.68,1883.97,1834.44,1872.34,1872.34,71885030000
2014-02,1782.68,1867.92,1737.92,1859.45,1859.45,69725590000
2014-01,1845.86,1850.84,1770.45,1782.59,1782.59,75871910000
2013-12,1806.55,1849.44,1767.99,1848.36,1848.36,64958820000
2013-11,1758.7,1813.55,1746.2,1805.81,1805.81,63628190000
2013-10,1682.41,1775.22,1646.47,1756.54,1756.54,76647400000
2013-09,1635.95,1729.86,1633.41,1681.55,1681.55,66174410000
2013-08,1689.42,1709.67,1627.47,1632.97,1632.97,64802810000
2013-07,1609.78,1698.78,1604.57,1685.73,1685.73,68106820000
2013-06,1631.71,1654.19,1560.33,1606.28,1606.28,74946790000
2013-05,1597.55,1687.18,1581.28,1630.74,1630.74,76447250000
2013-04,1569.18,1597.57,1536.03,1597.57,1597.57,77098000000
2013-03,1514.68,1570.28,1501.48,1569.19,1569.19,68527110000
2013-02,1498.11,1530.94,1485.01,1514.68,1514.68,69273480000
2013-01,1426.19,1509.94,1426.19,1498.11,1498.11,75848510000
2012-12,1416.34,1448,1398.11,1426.19,1426.19,66388180000
2012-11,1412.2,1434.27,1343.35,1416.18,1416.18,71489310000
2012-10,1440.9,1470.96,1403.28,1412.16,1412.16,71752320000
2012-09,1406.54,1474.51,1396.56,1440.67,1440.67,69784280000
2012-08,1379.32,1426.68,1354.65,1406.58,1406.58,70283810000
2012-07,1362.33,1391.74,1325.41,1379.32,1379.32,73103810000
2012-06,1309.87,1363.46,1266.74,1362.16,1362.16,81582440000
2012-05,1397.86,1415.32,1291.98,1310.33,1310.33,86920490000
2012-04,1408.47,1422.38,1357.38,1397.91,1397.91,74761710000
2012-03,1365.9,1419.15,1340.03,1408.47,1408.47,83899660000
2012-02,1312.45,1378.04,1312.45,1365.68,1365.68,78385710000
2012-01,1258.86,1333.47,1258.86,1312.41,1312.41,79567560000
